STATION,DATE,TMAX,TMIN,TOBS
GHCND:USC00194105,20151228,45,30,31
GHCND:USC00194105,20151229,31,23,30
GHCND:USC00194105,20151230,34,23,24
GHCND:USC00194105,20151231,36,23,36
GHCND:USC00194105,20160101,44,34,37
GHCND:USC00194105,20160102,39,37,37
GHCND:USC00194105,20160103,38,30,35
GHCND:USC00194105,20160104,42,24,25
GHCND:USC00194105,20160105,25,7,8
GHCND:USC00194105,20160106,26,7,17
GHCND:USC00194105,20160107,44,17,21
GHCND:USC00194105,20160108,42,21,32
GHCND:USC00194105,20160109,38,31,33
GHCND:USC00194105,20160110,43,31,43
GHCND:USC00194105,20160111,57,30,30
GHCND:USC00194105,20160112,32,19,31
GHCND:USC00194105,20160113,34,23,25
GHCND:USC00194105,20160114,28,19,27
GHCND:USC00194105,20160115,29,21,26
GHCND:USC00194105,20160116,36,21,35
GHCND:USC00194105,20160117,37,30,32
GHCND:USC00194105,20160118,33,23,25
GHCND:USC00194105,20160119,26,15,17
GHCND:USC00194105,20160120,26,15,22
GHCND:USC00194105,20160121,30,20,24
GHCND:USC00194105,20160122,30,18,18
GHCND:USC00194105,20160123,30,18,19
GHCND:USC00194105,20160124,29,19,21
GHCND:USC00194105,20160125,36,21,24
GHCND:USC00194105,20160126,39,24,34
GHCND:USC00194105,20160127,50,34,40
GHCND:USC00194105,20160128,42,21,22
GHCND:USC00194105,20160129,42,22,33
GHCND:USC00194105,20160130,38,30,34
GHCND:USC00194105,20160131,41,30,39
GHCND:USC00194105,20160201,55,30,50
GHCND:USC00194105,20160202,61,28,29
GHCND:USC00194105,20160203,49,28,29
GHCND:USC00194105,20160204,59,29,56
GHCND:USC00194105,20160205,56,32,33
GHCND:USC00194105,20160206,36,16,35
GHCND:USC00194105,20160207,36,16,34
GHCND:USC00194105,20160208,45,19,20
GHCND:USC00194105,20160209,24,18,23
GHCND:USC00194105,20160210,33,17,32
GHCND:USC00194105,20160211,34,23,25
GHCND:USC00194105,20160212,25,5,7
GHCND:USC00194105,20160213,23,7,21
GHCND:USC00194105,20160214,22,-11,-7
GHCND:USC00194105,20160215,11,-7,8
GHCND:USC00194105,20160216,33,-7,33
GHCND:USC00194105,20160217,56,32,33
GHCND:USC00194105,20160218,41,27,28
GHCND:USC00194105,20160219,32,16,20
GHCND:USC00194105,20160220,44,20,43
GHCND:USC00194105,20160221,59,40,47
GHCND:USC00194105,20160222,59,20,32
GHCND:USC00194105,20160223,42,23,24
GHCND:USC00194105,20160224,38,24,33
GHCND:USC00194105,20160225,66,33,59
GHCND:USC00194105,20160226,61,32,33
GHCND:USC00194105,20160227,36,19,20
GHCND:USC00194105,20160228,43,20,43
GHCND:USC00194105,20160229,59,43,46
GHCND:USC00194105,20160301,60,29,30
GHCND:USC00194105,20160302,53,29,38
GHCND:USC00194105,20160303,38,18,20
GHCND:USC00194105,20160304,42,20,32
GHCND:USC00194105,20160305,32,19,26
GHCND:USC00194105,20160306,36,25,31
GHCND:USC00194105,20160307,42,27,35
GHCND:USC00194105,20160308,47,27,43
GHCND:USC00194105,20160309,55,40,48
GHCND:USC00194105,20160310,78,48,64
GHCND:USC00194105,20160311,65,45,56
GHCND:USC00194105,20160312,56,31,35
GHCND:USC00194105,20160313,59,35,51
GHCND:USC00194105,20160314,61,36,39
GHCND:USC00194105,20160315,43,38,43
GHCND:USC00194105,20160316,45,41,42
GHCND:USC00194105,20160317,56,41,42
GHCND:USC00194105,20160318,60,41,43
GHCND:USC00194105,20160319,50,25,43
GHCND:USC00194105,20160320,45,23,35
GHCND:USC00194105,20160321,37,27,28
GHCND:USC00194105,20160322,45,28,34
GHCND:USC00194105,20160323,49,34,48
GHCND:USC00194105,20160324,61,36,36
GHCND:USC00194105,20160325,40,32,33
GHCND:USC00194105,20160326,45,32,39
GHCND:USC00194105,20160327,49,31,47
GHCND:USC00194105,20160328,50,31,38
GHCND:USC00194105,20160329,46,38,46
GHCND:USC00194105,20160330,48,32,46
GHCND:USC00194105,20160331,59,32,58
GHCND:USC00194105,20160401,71,58,66
GHCND:USC00194105,20160402,72,49,49
GHCND:USC00194105,20160403,49,30,31
GHCND:USC00194105,20160404,41,25,40
GHCND:USC00194105,20160405,40,22,24
GHCND:USC00194105,20160406,36,22,24
GHCND:USC00194105,20160407,46,23,46
GHCND:USC00194105,20160408,57,46,46
GHCND:USC00194105,20160409,49,30,45
GHCND:USC00194105,20160410,47,30,45
GHCND:USC00194105,20160411,47,38,42
GHCND:USC00194105,20160412,60,42,58
GHCND:USC00194105,20160413,60,33,45
GHCND:USC00194105,20160414,54,33,50
GHCND:USC00194105,20160415,54,33,42
GHCND:USC00194105,20160416,59,32,42
GHCND:USC00194105,20160417,58,37,52
GHCND:USC00194105,20160418,68,40,42
GHCND:USC00194105,20160419,68,40,45
GHCND:USC00194105,20160420,60,43,45
GHCND:USC00194105,20160421,60,40,44
GHCND:USC00194105,20160422,76,38,58
GHCND:USC00194105,20160423,78,57,60
GHCND:USC00194105,20160424,66,40,41
GHCND:USC00194105,20160425,59,41,44
GHCND:USC00194105,20160426,60,43,43
GHCND:USC00194105,20160427,43,34,36
GHCND:USC00194105,20160428,61,34,46
GHCND:USC00194105,20160429,62,34,46
GHCND:USC00194105,20160430,60,40,48
GHCND:USC00194105,20160501,64,43,45
GHCND:USC00194105,20160502,55,42,45
GHCND:USC00194105,20160503,50,45,48
GHCND:USC00194105,20160504,52,45,46
GHCND:USC00194105,20160505,53,43,44
GHCND:USC00194105,20160506,50,44,50
GHCND:USC00194105,20160507,58,46,46
GHCND:USC00194105,20160508,52,46,51
GHCND:USC00194105,20160509,62,42,45
GHCND:USC00194105,20160510,62,42,51
GHCND:USC00194105,20160511,72,47,52
GHCND:USC00194105,20160512,76,47,50
GHCND:USC00194105,20160513,77,50,62
GHCND:USC00194105,20160514,73,56,59
GHCND:USC00194105,20160515,78,50,50
GHCND:USC00194105,20160516,57,41,49
GHCND:USC00194105,20160517,58,41,56
GHCND:USC00194105,20160518,69,52,56
GHCND:USC00194105,20160519,64,49,56
GHCND:USC00194105,20160520,69,43,53
GHCND:USC00194105,20160521,76,51,55
GHCND:USC00194105,20160522,74,55,60
GHCND:USC00194105,20160523,73,50,52
GHCND:USC00194105,20160524,78,50,54
GHCND:USC00194105,20160525,58,54,56
GHCND:USC00194105,20160526,87,56,67
GHCND:USC00194105,20160527,86,58,59
GHCND:USC00194105,20160528,79,59,71
GHCND:USC00194105,20160529,93,59,59
GHCND:USC00194105,20160530,60,52,54
GHCND:USC00194105,20160531,77,54,76
GHCND:USC00194105,20160601,85,62,68
GHCND:USC00194105,20160602,73,55,56
GHCND:USC00194105,20160603,72,56,63
GHCND:USC00194105,20160604,72,60,61
GHCND:USC00194105,20160605,81,60,63
GHCND:USC00194105,20160606,67,61,64
GHCND:USC00194105,20160607,81,64,71
GHCND:USC00194105,20160608,82,60,70
GHCND:USC00194105,20160609,71,54,59
GHCND:USC00194105,20160610,69,54,56
GHCND:USC00194105,20160611,71,55,63
GHCND:USC00194105,20160612,67,59,67
GHCND:USC00194105,20160613,75,54,64
GHCND:USC00194105,20160614,71,53,64
GHCND:USC00194105,20160615,76,55,69
GHCND:USC00194105,20160616,84,60,62
GHCND:USC00194105,20160617,85,59,63
GHCND:USC00194105,20160618,84,57,76
GHCND:USC00194105,20160619,77,57,61
GHCND:USC00194105,20160620,87,61,86
GHCND:USC00194105,20160621,87,65,66
GHCND:USC00194105,20160622,82,58,67
GHCND:USC00194105,20160623,74,55,63
GHCND:USC00194105,20160624,84,54,61
GHCND:USC00194105,20160625,82,58,61
GHCND:USC00194105,20160626,80,58,62
GHCND:USC00194105,20160627,87,61,67
GHCND:USC00194105,20160628,85,67,79
GHCND:USC00194105,20160629,81,70,70
GHCND:USC00194105,20160630,85,64,67
GHCND:USC00194105,20160701,85,64,68
GHCND:USC00194105,20160702,85,65,66
GHCND:USC00194105,20160703,77,57,62
GHCND:USC00194105,20160704,82,62,67
GHCND:USC00194105,20160705,86,67,68
GHCND:USC00194105,20160706,85,68,73
GHCND:USC00194105,20160707,92,65,66
GHCND:USC00194105,20160708,80,62,65
GHCND:USC00194105,20160709,72,60,60
GHCND:USC00194105,20160710,65,58,65
GHCND:USC00194105,20160711,68,60,63
GHCND:USC00194105,20160712,85,60,84
GHCND:USC00194105,20160713,89,59,70
GHCND:USC00194105,20160714,89,60,74
GHCND:USC00194105,20160715,84,72,78
GHCND:USC00194105,20160716,91,70,79
GHCND:USC00194105,20160717,91,70,78
GHCND:USC00194105,20160718,92,68,73
GHCND:USC00194105,20160719,91,71,73
GHCND:USC00194105,20160720,79,60,64
GHCND:USC00194105,20160721,81,63,67
